"Dealer ID",Code,"Total Point before this ","Membership Level","Subgroup ID","Subgroup Name",Quantity,Point,"Offer Point","Item Point","Item Point Should Membership Wise","Original Point Should Be","Amount Difference","Pay Status",Date
737,DPU-1114-328/2022,0,CF,2,"MASTER COAT",108,162,0,1.5,2,216,-54,"Down Paid","2022-03-14 18:45:24"
737,DPU-1114-329/2022,216,CF,26,"REBELITE SPD",180,180,0,1,1.25,225,-45,"Down Paid","2022-03-14 18:52:32"
737,DPU-1114-329/2022,216,CF,19,"LUCKY SEVEN SYN. ENAMEL",32.8,32.8,0,1,1.5,49.2,-16.4,"Down Paid","2022-03-14 18:52:32"
737,DPU-1114-329/2022,216,CF,239,"THINNER T-1 GENERAL PURPOSE THINNER",10,0,0,0,0,0,0,"Payment Ok","2022-03-14 18:52:32"
737,DPU-1114-329/2022,216,CF,21,"PLASTELITE PLASTIC EMULSION",40,40,0,1,1.5,60,-20,"Down Paid","2022-03-14 18:52:32"
737,DPU-1114-329/2022,216,CF,1,"SMOOTH EXTERIOR",12,12,0,1,1.5,18,-6,"Down Paid","2022-03-14 18:52:32"
737,DPU-1114-331/2022,568.2,CF,108,"INDUSTRIELITE INDUSTRIAL ENAMEL",720,720,0,1,1.5,1080,-360,"Down Paid","2022-03-14 19:08:33"
737,DPU-1114-332/2022,1648.2,CF,188,"MARELITE ACRO PRIMER",540,540,0,1,1.5,810,-270,"Down Paid","2022-03-14 19:16:57"
737,DPU-1114-335/2022,2458.2,CF,3,"ACLOSE SEALER",50,50,0,1,1.5,75,-25,"Down Paid","2022-03-15 10:47:20"
737,DPU-1114-335/2022,2458.2,CF,26,"REBELITE SPD",18,18,0,1,1.25,22.5,-4.5,"Down Paid","2022-03-15 10:47:20"
737,DPU-1114-335/2022,2458.2,CF,19,"LUCKY SEVEN SYN. ENAMEL",7,7,0,1,1.5,10.5,-3.5,"Down Paid","2022-03-15 10:47:20"
737,DPU-1114-335/2022,2458.2,CF,239,"THINNER T-1 GENERAL PURPOSE THINNER",7,0,0,0,0,0,0,"Payment Ok","2022-03-15 10:47:20"
737,DPU-1114-336/2022,2566.2,CF,1,"SMOOTH EXTERIOR",360,360,0,1,1.5,540,-180,"Down Paid","2022-03-15 10:52:40"
737,DPU-1114-336/2022,2566.2,CF,21,"PLASTELITE PLASTIC EMULSION",360,360,0,1,1.5,540,-180,"Down Paid","2022-03-15 10:52:40"
